Lee 2002, 10.1080/01677060216292,"Gyunghee Lee, Jeffrey C. Hall, and Jae H. Park. (2002): Doublesex Gene Expression In The Central Nervous System Of Drosophila Melanogaster"
Cachero 2010, 10.1016/j.cub.2010.07.045,"Sebastian Cachero, Aaron D. Ostrovsky, Jai Y. Yu, Barry J. Dickson, and Gregory S.X.E. Jefferis (2010): Sexual dimorphism in the fly brain"
Rideout 2010, 10.1038/nn.2515,"Elizabeth J. Rideout, Anthony J. Dornan, Megan C. Neville, Suzanne Eadie, and Stephen F. Goodwin (2010): Control of sexual differentiation and behavior by the doublesex gene in Drosophila melanogaster"
Yu 2010, 10.1371/journal.pbio.1000461,"Hung-Hsiang Yu, Chih-Fei Kao, Yisheng He, Peng Ding, Jui-Chun Kao, and Tzumin Lee (2010):  A Complete Developmental Sequence of a Drosophila Neuronal Lineage as Revealed by Twin-Spot MARCM"
Asahina 2014, 10.1016/j.cell.2013.11.045,"Kenta Asahina, Kiichi Watanabe, Brian J. Duistermars, Eric Hoopfer, Carlos Roberto González, Eyrún Arna Eyjólfsdóttir, Pietro Perona, and David J. Anderson (2014):  Tachykinin-Expressing Neurons Control Male-Specific Aggressive Arousal in Drosophila"
Nojima 2021, 10.1016/j.cub.2020.12.047,"Tetsuya Nojima, Annika Rings, Aaron M. Allen, Nils Otto, Thomas A. Verschut, Jean-Christophe Billeter, Megan C. Neville, and Stephen F. Goodwin (2021):  A sex-specific switch between visual and olfactory inputs underlies adaptive sex differences in behavior"
Lillvis 2024, 10.1016/j.cub.2024.01.015,"Joshua L. Lillvis, Kaiyu Wang, Hiroshi M. Shiozaki, Min Xu, David L. Stern, and Barry J. Dickson (2024): Nested neural circuits generate distinct acoustic signals during Drosophila courtship"
